"RegionID","RegionName","State","Metro","CountyName","SizeRank"
45732,"Hesperia","CA","Riverside-San Bernardino-Ontario","San Bernardino County",364
45911,"Jackson","MI","Jackson","Jackson County",365
47977,"The Woodlands","TX","Houston-The Woodlands-Sugar Land","Montgomery County",366
12438,"Longview","TX","Longview","Gregg County",367
13699,"San Mateo","CA","San Francisco-Oakland-Hayward","San Mateo County",368
11267,"Edison","NJ","New York-Newark-Jersey City","Middlesex County",369
45339,"Franklin","TN","Nashville-Davidson--Murfreesboro--Franklin","Williamson County",370
13709,"Sandy Springs","GA","Atlanta-Sandy Springs-Roswell","Fulton County",371
25855,"Merced","CA","Merced","Merced County",372
39134,"Jacksonville","NC","Jacksonville","Onslow County",373
13715,"Santa Cruz","CA","Santa Cruz-Watsonville","Santa Cruz County",374
32489,"Lexington","SC","Columbia","Lexington County",375
17386,"Chapel Hill","NC","Durham-Chapel Hill","Orange County",376
32287,"Kennesaw","GA","Atlanta-Sandy Springs-Roswell","Cobb County",377
395557,"Woodbridge","NJ","New York-Newark-Jersey City","Middlesex County",378
45127,"Elkhart","IN","Elkhart-Goshen","Elkhart County",379
31163,"Daly City","CA","San Francisco-Oakland-Hayward","San Mateo County",380
33645,"Rialto","CA","Riverside-San Bernardino-Ontario","San Bernardino County",381
11049,"Davie","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",382
10917,"Columbia","MD","Baltimore-Columbia-Towson","Howard County",383
46508,"Meridian","ID","Boise City","Ada County",384
32452,"Lawrence","KS","Lawrence","Douglas County",385
6112,"Napa","CA","Napa","Napa County",386
38992,"Highlands Ranch","CO","Denver-Aurora-Lakewood","Douglas County",387
46348,"Lynchburg","VA","Lynchburg","Lynchburg City",388
11695,"Greeley","CO","Greeley","Weld County",389
39386,"League City","TX","Houston-The Woodlands-Sugar Land","Galveston County",390
395471,"Lakewood","NJ","New York-Newark-Jersey City","Ocean County",391
12773,"Mission Viejo","CA","Los Angeles-Long Beach-Anaheim","Orange County",392
11896,"High Point","NC","Greensboro-High Point","Guilford County",393
3404,"Anderson","SC","Greenville-Anderson-Mauldin","Anderson County",394
32540,"Livermore","CA","San Francisco-Oakland-Hayward","Alameda County",395
27219,"Spring Hill","FL","Tampa-St. Petersburg-Clearwater","Hernando County",396
6932,"Sandy","UT","Salt Lake City","Salt Lake County",397
45255,"Federal Way","WA","Seattle-Tacoma-Bellevue","King County",398
40574,"Rio Rancho","NM","Albuquerque","Sandoval County",399
47762,"South Gate","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",400
23862,"Bryan","TX","College Station-Bryan","Brazos County",401
4042,"Champaign","IL","Champaign-Urbana","Champaign County",402
16701,"Albany","GA","Albany","Dougherty County",403
53978,"Portsmouth","VA","Virginia Beach-Norfolk-Newport News","Portsmouth City",404
399214,"Greece","NY","Rochester","Monroe County",405
